info,name,spoint,addr,chanquan,period,describe,price,payment,housepr,mating,other,lease
,星汇云锦 高档两房一厅 居家环境好,,2室1厅98平米东北,,租赁周期： 暂无数据,,15800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共45层) / 2010年建塔楼,租赁方式： 整租
,保利心语花园 精装两房 安静舒适干净整洁,,2室1厅81平米北,,租赁周期： 暂无数据,,6800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 低楼层(共32层) / 2009年建塔楼,租赁方式： 整租
,富力盈丰大厦 温馨一房 生活方便,,1室1厅51平米南,,租赁周期： 暂无数据,,5200元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共29层) / 2005年建塔楼,租赁方式： 整租
,嘉裕礼顿阳光 保养好 格局方正,,2室1厅81平米南,,租赁周期： 暂无数据,,8000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 低楼层(共30层) / 2005年建塔楼,租赁方式： 整租
,中海花城湾 新净两房 采光好,,2室2厅86平米北,,租赁周期： 暂无数据,,9500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共30层) / 2005年建塔楼,租赁方式： 整租
,保利心语花园 实用两房 交通方便 环境优,,2室2厅84平米北,,租赁周期： 暂无数据,,7500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共32层) / 2009年建塔楼,租赁方式： 整租
,汇峰 南向中高层三房 装修好,,3室2厅147平米南,,租赁周期： 暂无数据,,15000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 中楼层(共40层) / 2008年建塔楼,租赁方式： 整租
,珠江都荟 园林小区 吉屋出租,,2室2厅88平米东 西,,租赁周期： 暂无数据,,9000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共33层) / 2006年建塔楼,租赁方式： 整租
,铂林国际公寓 精致装修 复式两房一厅,,2室1厅55平米南,,租赁周期： 暂无数据,,5999元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共22层) / 2005年建塔楼,租赁方式： 整租
,保利心语 三房二厅 家私家电齐,,3室2厅109平米北,,租赁周期： 暂无数据,,9500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 中楼层(共32层) / 2008年建塔楼,租赁方式： 整租
,汇峰南向大三房 双主套 安静望花园,,3室2厅139平米南,,租赁周期： 暂无数据,,13000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 中楼层(共48层) / 2008年建塔楼,租赁方式： 整租
,铂林国际公寓 南向 少有放盘,,2室2厅53平米东,,租赁周期： 暂无数据,,6300元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 低楼层(共22层) / 2005年建塔楼,租赁方式： 整租
,碧海湾 高层望江 刚换了室内墙纸,,3室2厅145平米西南,,租赁周期： 暂无数据,,12800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共28层) / 2003年建塔楼,租赁方式： 整租
,嘉裕礼顿阳光 光线好 地铁 方便,,1室1厅55平米北,,租赁周期： 暂无数据,,6300元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 低楼层(共30层) / 2005年建塔楼,租赁方式： 整租
,间格方正 采光通风好,,2室1厅68平米西,,租赁周期： 暂无数据,,4500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河南租房天河南租房 / 中楼层(共9层) / 塔楼,租赁方式： 整租
,嘉裕公馆 精装大三房 户型方正,,3室2厅155平米南,,租赁周期： 暂无数据,,18000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 低楼层(共33层) / 塔楼,租赁方式： 整租
,名门大厦 北向二房 生活配套成熟,,2室1厅82平米北,,租赁周期： 暂无数据,,6000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共33层) / 1997年建塔楼,租赁方式： 整租
,高层精装两房 拎包即住,,2室2厅94平米北,,租赁周期： 暂无数据,,12000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 中楼层(共46层) / 2013年建板楼,租赁方式： 整租
,嘉裕礼顿阳光 南向大单间 装修保养采光好,,1室0厅43平米南,,租赁周期： 暂无数据,,4600元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共30层) / 2005年建塔楼,租赁方式： 整租
,星汇园三房单边位家私配齐 安静住家,,3室2厅130平米东,,租赁周期： 暂无数据,,9500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共32层) / 2002年建塔楼,租赁方式： 整租
,天龙大厦 实用四房 采光通透 生活方便,,4室1厅113平米南,,租赁周期： 暂无数据,,6500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,龙口西租房龙口西租房 / 高楼层(共25层) / 1997年建塔楼,租赁方式： 整租
,星汇园 精装三房 家私家电齐全修改房评,,3室2厅119平米西南,,租赁周期： 暂无数据,,9800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共32层) / 2002年建塔楼,租赁方式： 整租
,业主自住保养好 采光好南北对流,,4室2厅210平米南 北,,租赁周期： 暂无数据,,16000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共31层) / 2008年建塔楼,租赁方式： 整租
,华景新城逸馨居 3室2厅 4500元,,3室2厅94平米东北,,租赁周期： 暂无数据,,4500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,华景新城租房华景新城租房 / 低楼层(共31层) / 2000年建塔楼,租赁方式： 整租
,协和新世界安静温馨住家南向两房,,2室2厅74平米南,,租赁周期： 暂无数据,,6500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河北租房天河北租房 / 低楼层(共32层) / 2008年建塔楼,租赁方式： 整租
,利雅湾整租三房 精装 保养不错 格局好,,3室2厅130平米西南,,租赁周期： 暂无数据,,11800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 中楼层(共29层) / 2004年建塔楼,租赁方式： 整租
,富力公园28 方正三房,,3室2厅161平米东,,租赁周期： 暂无数据,,19000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城东租房珠江新城东租房 / 高楼层(共48层) / 2012年建塔楼,租赁方式： 整租
,南天广场 高楼层 南向 办公装修,,2室1厅94平米南,,租赁周期： 暂无数据,,5600元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共33层) / 1997年建塔楼,租赁方式： 整租
,铂林国际公寓 复式一房一厅 温馨舒适,,1室1厅38平米东,,租赁周期： 暂无数据,,4600元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共22层) / 2005年建塔楼,租赁方式： 整租
,铂林国际公寓 精致一房 交通方便,,1室1厅33平米西,,租赁周期： 暂无数据,,4000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共32层) / 2005年建塔楼,租赁方式： 整租
,星汇云锦 时尚3房 视野开阔 安静舒适,,3室2厅197平米东北,,租赁周期： 暂无数据,,23000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 低楼层(共42层) / 2010年建塔楼,租赁方式： 整租
,东方都会广场 中楼层 精装修,,1室1厅34平米北,,租赁周期： 暂无数据,,3500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河公园租房天河公园租房 / 中楼层(共22层) / 2004年建塔楼,租赁方式： 整租
,MBA国际公寓 精装大单间 安静望暨大,,1室0厅43平米北,,租赁周期： 暂无数据,,3600元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,石牌租房石牌租房 / 低楼层(共29层) / 2007年建塔楼,租赁方式： 整租
,铂林国际 复式户型 精致装修,,1室1厅42平米北,,租赁周期： 暂无数据,,5000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共22层) / 2005年建塔楼,租赁方式： 整租
,双城国际公寓 带阳台 干净整洁,,1室1厅46平米北,,租赁周期： 暂无数据,,5000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共29层) / 1998年建塔楼,租赁方式： 整租
,南向带阳台 干净整洁带阳台,,1室0厅37平米南,,租赁周期： 暂无数据,,4500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共29层) / 1998年建塔楼,租赁方式： 整租
,朱美拉公寓 3室2厅 12000元,,3室2厅139平米南,,租赁周期： 暂无数据,,12000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 低楼层(共45层) / 2009年建塔楼,租赁方式： 整租
,汇峰国际公寓 精致1房 保养新净,,1室1厅43平米西,,租赁周期： 暂无数据,,5300元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共43层) / 2008年建塔楼,租赁方式： 整租
,3+1户型 高层 视野开阔,,3室2厅116平米西南,,租赁周期： 暂无数据,,12000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共29层) / 2004年建塔楼,租赁方式： 整租
,温馨一房，格局方正 ，风采光很好,,1室1厅43平米南,,租赁周期： 暂无数据,,3800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河南租房天河南租房 / 中楼层(共7层) / 1993年建塔楼,租赁方式： 整租
,利雅湾 东南向三房望花园 安静采光好,,3室2厅125平米东南,,租赁周期： 暂无数据,,11000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 低楼层(共31层) / 2004年建塔楼,租赁方式： 整租
,嘉裕礼顿阳光 温馨2房 装修好 保养好,,2室1厅81平米东,,租赁周期： 暂无数据,,8000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 低楼层(共30层) / 2005年建塔楼,租赁方式： 整租
,远洋明珠 实用两房 重新装修 保养好,,2室2厅65平米北,,租赁周期： 暂无数据,,4800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共25层) / 1998年建塔楼,租赁方式： 整租
,嘉裕礼顿阳光 家私家电齐 保养新净,,1室0厅43平米南,,租赁周期： 暂无数据,,4800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共30层) / 2005年建塔楼,租赁方式： 整租
,保林苑 安静东南向 户型方正,,2室2厅86平米东,,租赁周期： 暂无数据,,7500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共32层) / 2009年建塔楼,租赁方式： 整租
,星汇云锦 高层两房 采光好 交通方便,,2室2厅98平米西南,,租赁周期： 暂无数据,,12000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共45层) / 2010年建塔楼,租赁方式： 整租
,昌乐园 户型方正 低层两房,,2室1厅58平米南,,租赁周期： 暂无数据,,2800元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,员村租房员村租房 / 中楼层(共7层) / 1994年建塔楼,租赁方式： 整租
,云宁居 电梯三房 交通生活便利,,3室2厅84平米东 西,,租赁周期： 暂无数据,,2500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,沙太南租房沙太南租房 / 高楼层(共9层) / 1999年建塔楼,租赁方式： 整租
,中海璟晖 精装修3房 温馨舒适 环境优美,,3室2厅134平米南 北,,租赁周期： 暂无数据,,18000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共32层) / 2007年建塔楼,租赁方式： 整租
,协和新世界 温馨精致两房 带大型绿化小区,,2室2厅96平米西北,,租赁周期： 暂无数据,,6000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河北租房天河北租房 / 中楼层(共33层) / 2008年建塔楼,租赁方式： 整租
,汇峰国际公寓 东向一房 有K随时可看,,1室0厅43平米东,,租赁周期： 暂无数据,,5500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城中租房珠江新城中租房 / 高楼层(共43层) / 2008年建塔楼,租赁方式： 整租
,碧海湾 南向望江景光好 精致装修,,4室2厅185平米东南,,租赁周期： 暂无数据,,13000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 中楼层(共28层) / 2003年建塔楼,租赁方式： 整租
,保利香槟花园 方正四房 配套精致,,4室2厅149平米南 北,,租赁周期： 暂无数据,,13000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城西租房珠江新城西租房 / 高楼层(共29层) / 2004年建塔楼,租赁方式： 整租
,马赛国际公寓 实用两房 望花园小蛮腰,,2室1厅77平米西南,,租赁周期： 暂无数据,,4500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,珠江新城东租房珠江新城东租房 / 低楼层(共33层) / 2006年建塔楼,租赁方式： 整租
,骏景花园 装修保养好 户型方正 看房方便,,3室2厅92平米北,,租赁周期： 暂无数据,,5000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,棠下租房棠下租房 / 高楼层(共13层) / 2000年建塔楼,租赁方式： 整租
,东方都会广场 复式一房一厅 保养好 家电,,1室2厅39平米北,,租赁周期： 暂无数据,,3500元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河公园租房天河公园租房 / 中楼层(共22层) / 2004年建塔楼,租赁方式： 整租
,协和新世界 舒适三房 视野开阔 花园小区,,3室2厅109平米西南,,租赁周期： 暂无数据,,9000元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河北租房天河北租房 / 中楼层(共32层) / 2008年建塔楼,租赁方式： 整租
,东方都会广场 复式一房一厅 家电齐,,1室2厅44平米南,,租赁周期： 暂无数据,,3900元/月,付款方式： 暂无数据,房屋现状： 暂无数据,,天河公园租房天河公园租房 / 中楼层(共23层) / 2004年建塔楼,租赁方式： 整租
